Run_ID,Embedding,Projection_Mode,Used_Projection,Join_Strategy,Recall,Precision,F1,Tokens,Time_s
1,distilbert-base-uncased-finetuned-sst-2-english,Auto (Advisor),False,pairwise,35.48,10.28,15.94,7191,32.19
2,distilbert-base-uncased-finetuned-sst-2-english,Forced_True,True,pairwise,30.65,10.44,15.57,12965,41.88
3,distilbert-base-uncased-finetuned-sst-2-english,Forced_False,False,pairwise,19.35,5.29,8.3,7241,23.49
4,all-mpnet-base-v2,Auto (Advisor),False,pairwise,85.48,41.73,56.08,8007,28.23
5,all-mpnet-base-v2,Forced_True,True,pairwise,32.26,6.1,10.26,13667,50.65
6,all-mpnet-base-v2,Forced_False,False,pairwise,91.94,36.77,52.53,8120,27.47
