Run_ID,Dataset,Trial,Baseline_Type,A_Size,B_Size,Total_Pairs_Evaluated,Recall,Precision,F1,Tokens,Time_s
1,Emails,1,Block_15_Full,100,100,10000,84.58,73.94,78.9,41970,114.44
2,Emails,2,Block_15_Full,100,100,10000,83.88,73.0,78.06,41947,131.15
3,Emails,3,Block_15_Full,100,100,10000,82.67,73.72,77.94,41868,102.8
