Run_ID,Dataset,Trial,Baseline_Type,A_Size,B_Size,Total_Pairs_Evaluated,Recall,Precision,F1,Tokens,Time_s
1,IMDB,1,Block_15_Full,100,100,10000,41.28,85.25,55.63,154970,257.04
2,Emails,1,Block_15_Full,100,10,1000,66.13,40.2,50.0,5331,16.54
3,StackOverflow,1,Block_15_Full,100,10,1000,61.67,94.87,74.75,13341,15.86
