Run_ID,Config_ID,Trial_ID,Table_Size,Cluster_Ratio,Calculated_K,Filter_Threshold,Avg_Purity_%,Total_Clusters_Possible,Dropped_Clusters,Recall,Precision,F1,Tokens,Time_s
1,1,1,100,0.05,5,0.35,81.5,25,16,26.67,94.95,41.65,72911,130.31
2,2,1,100,0.1,10,0.35,83.5,100,9,41.32,86.95,56.02,244133,593.78
