Run_ID,Dataset,Strategy,Trial_ID,Row_Ratio,K_Clusters,Threshold,Dropped_Clusters,Recall,Precision,F1,Tokens,Time_s
1,MTSamples,classifier,1,N/A,N/A,N/A,N/A,34.0,34.0,34.0,15617,14.77
2,MTSamples,classifier,2,N/A,N/A,N/A,N/A,33.0,33.0,33.0,15589,14.88
3,MTSamples,classifier,3,N/A,N/A,N/A,N/A,34.0,34.0,34.0,15618,13.35
