Run_ID,Dataset,Trial,Baseline_Type,A_Size,B_Size,Total_Pairs_Evaluated,Recall,Precision,F1,Tokens,Time_s
1,IMDB,1,Block_15_Full,100,100,10000,12.16,79.5,21.09,95310,190.89
2,Emails,1,Block_15_Full,100,10,1000,54.84,25.19,34.52,6883,26.31
3,MTSamples,1,Block_15_Full,100,40,4000,50.0,42.37,45.87,64183,110.61
